observed_on,time_observed_at,coordinates_obscured,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
9/8/2018,2018-09-08 16:23:00 UTC,FALSE,Fayette,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/1/2007,2007-09-01 03:00:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/6/2018,2018-09-06 18:49:06 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
6/11/2018,2018-06-11 18:01:42 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
10/7/2018,,FALSE,Ohio,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/16/2018,2018-07-16 19:43:00 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/18/2018,2018-07-18 19:44:00 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/12/2016,2016-09-12 19:08:00 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
9/14/2016,2016-09-14 19:29:00 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
6/16/2019,2019-06-17 02:54:00 UTC,FALSE,Jefferson,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/5/2019,2019-07-05 14:17:48 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/10/2019,2019-07-10 15:23:00 UTC,FALSE,Grant,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/15/2019,2019-07-15 23:58:00 UTC,FALSE,Kanawha,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/13/2019,2019-07-13 17:06:59 UTC,FALSE,Harrison,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/16/2019,2019-07-16 17:38:06 UTC,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/15/2019,2019-07-15 13:48:00 UTC,FALSE,Tucker,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/23/2019,2019-07-23 22:58:15 UTC,FALSE,Mason,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/24/2019,2019-07-24 21:36:04 UTC,FALSE,Pendleton,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/24/2019,2019-07-24 16:59:06 UTC,FALSE,Pendleton,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/4/2019,2019-07-04 19:03:00 UTC,FALSE,Pocahontas,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/28/2019,2019-07-28 22:28:36 UTC,FALSE,Greenbrier,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/3/2019,,FALSE,Berkeley,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/3/2019,,FALSE,Monongalia,Monarch,Danaus plexippus,Monarch,Insecta,48662
7/20/2019,2019-07-20 15:22:47 UTC,FALSE,Greenbrier,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/6/2019,2019-08-06 12:57:20 UTC,FALSE,Pocahontas,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/7/2019,2019-08-07 13:17:00 UTC,FALSE,Pocahontas,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/6/2019,2019-08-06 18:22:00 UTC,FALSE,Preston,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/4/2019,2019-08-04 15:36:11 UTC,FALSE,Wood,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/8/2019,2019-08-09 00:29:46 UTC,FALSE,Pocahontas,Monarch,Danaus plexippus,Monarch,Insecta,48662
8/12/2019,2019-08-12 16:44:45 UTC,FALSE,Preston,Monarch,Danaus plexippus,Monarch,Insecta,48662
